"perteneceEdificio","calEnePrinNoRenovCalefaccion"
"100265","E"
"100366","E"
"100823","E"
"100825","E"
"100909","E"
"100942","A"
"101118","E"
"101230","E"
"101260","A"
"102152","A"
"102153","A"
"102309","A"
"102311","A"
"102444","A"
"102563","E"
"1026","A"
"102980","A"
"103173","A"
"103458","A"
"103599","A"
"103756","A"
"103885","A"
"104181","A"
"104236","E"
"104249","A"
"104342","E"
"104405","E"
"104481","A"
"104542","E"
"104600","A"
"104668","A"
"104707","E"
"104823","A"
"104824","A"
"104825","A"
"104947","A"
"105001","E"
"105076","A"
"105078","A"
"105163","A"
"105191","A"
"105218","A"
"105431","A"
"105863","E"
"106132","E"
"106164","E"
"106557","E"
"106611","E"
"106825","A"
"106978","E"
"107298","A"
"107304","E"
"107463","A"
"107490","E"
"107493","E"
"107494","E"
"107517","A"
"107521","A"
"107648","A"
"107777","E"
"108062","A"
"108079","A"
"108082","A"
"108083","A"
"108084","A"
"108086","A"
"108103","E"
"108132","E"
"108206","E"
"108368","A"
"108369","A"
"108478","E"
"108714","A"
"108715","A"
"108716","A"
"108717","A"
"108799","A"
"109153","E"
"109208","A"
"109216","A"
"109217","A"
"109218","A"
"109219","A"
"109268","A"
"109348","E"
"109412","A"
"109440","E"
"109658","E"
"109784","A"
"109852","E"
"110021","E"
"110077","A"
"110180","E"
"110192","A"
"110352","E"
"110475","E"
"110515","E"
"110523","E"
"110626","A"
"110649","E"
"110685","A"
"110781","A"
"110991","A"
"111037","E"
"111228","E"
"111295","E"
"111363","E"
"111414","A"
"111446","E"
"111512","A"
"111671","A"
"111672","A"
"111686","A"
"112028","E"
"112032","E"
"112082","E"
"112377","E"
"112614","E"
"112799","A"
"112801","E"
"112967","A"
"113037","E"
"113065","A"
"113113","E"
"113186","A"
"113204","E"
"113216","E"
"113228","E"
"113392","A"
"113418","A"
"113425","A"
"113679","E"
"113842","E"
"113926","A"
"113932","E"
"114160","E"
"114302","E"
"114389","A"
"114422","A"
"114569","E"
"114608","E"
"114618","E"
"114741","E"
"114785","A"
"115053","E"
"115541","A"
"115677","E"
"115875","A"
"116018","A"
"116322","E"
"116369","A"
"116370","A"
"116371","A"
"116405","E"
"116419","E"
"116586","A"
"116687","E"
"116817","E"
"117039","E"
"117123","A"
"117266","E"
"117343","E"
"117375","E"
"117386","E"
"117511","E"
"117533","E"
"117594","E"
"117609","E"
"117648","A"
"117751","E"
"117794","E"
"117850","E"
"117947","E"
"117970","E"
"117984","E"
"118046","E"
"118075","E"
"118301","E"
"118375","E"
"118409","E"
"118475","E"
"118547","E"
"118581","E"
"118652","E"
"118673","E"
"118729","E"
"118732","A"
"118776","E"
"118903","E"
"118976","E"
"119032","E"
"119044","A"
"119061","E"
"119062","A"
"119095","E"
"119154","E"
"119223","E"
"119409","E"
"119436","E"
"119440","E"
