dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:temperature,ayto:battery,ayto:light,ayto:noise,uri
483,2021-08-27T07:48:03Z,NoiseLevelObserved,43.46471,-3.80713,,,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/483.csv
527,2021-08-27T07:48:01Z,NoiseLevelObserved,43.46296,-3.80129,,,,60.9,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/527.csv
273,2021-08-27T07:48:00Z,WeatherObserved,43.46275,-3.7996,22.19,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/273.csv
533,2021-08-27T07:47:57Z,WeatherObserved,43.46323,-3.79979,23.93,,501.61,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/533.csv
272,2021-08-27T07:47:50Z,NoiseLevelObserved,43.46328,-3.79957,,,,60.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/272.csv
276,2021-08-27T07:47:49Z,WeatherObserved,43.46326,-3.79737,25.87,,11206.76,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/276.csv
271,2021-08-27T07:47:48Z,WeatherObserved,43.46251,-3.80022,21.29,,2221.35,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/271.csv
456,2021-08-27T07:47:47Z,WeatherObserved,43.46238,-3.80069,30.58,,5272.43,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/456.csv
306,2021-08-27T07:47:45Z,NoiseLevelObserved,43.46462,-3.79761,,,,51.5,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/306.csv
338,2021-08-27T07:47:43Z,WeatherObserved,43.46365,-3.80696,22.38,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/338.csv
252,2021-08-27T07:47:43Z,WeatherObserved,43.46303,-3.79986,25.54,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/252.csv
491,2021-08-27T07:47:43Z,WeatherObserved,43.46453,-3.805,27.48,,6561887.4,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/491.csv
371,2021-08-27T07:47:42Z,WeatherObserved,43.46354,-3.8107,0.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/371.csv
382,2021-08-27T07:47:39Z,WeatherObserved,43.46401,-3.79682,22.45,,3561.81,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/382.csv
357,2021-08-27T07:47:37Z,NoiseLevelObserved,43.46323,-3.80882,,,,53.2,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/357.csv
404,2021-08-27T07:47:35Z,NoiseLevelObserved,43.4633,-3.7968,,,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/404.csv
498,2021-08-27T07:47:30Z,NoiseLevelObserved,43.46434,-3.80725,,,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/498.csv
250,2021-08-27T07:47:29Z,WeatherObserved,43.4622,-3.80368,22.0,,440.24,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/250.csv
481,2021-08-27T07:47:22Z,NoiseLevelObserved,43.46477,-3.8081,,,,52.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/481.csv
304,2021-08-27T07:47:20Z,WeatherObserved,43.46448,-3.79789,0.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/304.csv
378,2021-08-27T07:47:20Z,WeatherObserved,43.46516,-3.79705,0.0,,3014.58,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/378.csv
2561,2021-08-27T07:47:18Z,WeatherObserved,43.4634,-3.79893,0.0,,2186.07,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/2561.csv
292,2021-08-27T07:47:17Z,WeatherObserved,43.46426,-3.80034,23.29,,175.5,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/292.csv
275,2021-08-27T07:47:16Z,NoiseLevelObserved,43.46258,-3.79933,,,,52.5,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/275.csv
501,2021-08-27T07:47:16Z,WeatherObserved,43.46406,-3.80615,23.93,,953.83,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/501.csv
465,2021-08-27T07:47:12Z,WeatherObserved,43.46367,-3.79853,28.7,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/465.csv
486,2021-08-27T07:47:07Z,NoiseLevelObserved,43.46485,-3.80559,,,,50.0,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/486.csv
256,2021-08-27T07:47:05Z,WeatherObserved,43.46221,-3.80235,20.9,,2409.85,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/256.csv
525,2021-08-27T07:46:58Z,WeatherObserved,43.46349,-3.80142,22.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/525.csv
249,2021-08-27T07:46:53Z,WeatherObserved,43.46232,-3.80347,20.51,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/249.csv
183,2021-08-27T07:46:50Z,WeatherObserved,43.46315,-3.79634,0.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/183.csv
539,2021-08-27T07:46:39Z,WeatherObserved,43.46263,-3.80036,0.0,,48032.31,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/539.csv
365,2021-08-27T07:46:37Z,WeatherObserved,43.46324,-3.8105,24.64,,34609.04,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/365.csv
470,2021-08-27T07:46:33Z,WeatherObserved,43.46429,-3.79971,22.83,,2533.54,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/470.csv
342,2021-08-27T07:46:32Z,WeatherObserved,43.46343,-3.80627,0.0,,73.78,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/342.csv
518,2021-08-27T07:46:30Z,WeatherObserved,43.46442,-3.80884,0.0,,0.2,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/518.csv
